id,name,link,Average prices,Cuisine,Meals,Restaurant features,Good for,Open Hours,Address,Location,Phone Number
84,Aroma,/Restaurant_Review-g293940-d9756281-Reviews-Aroma-Phnom_Penh.html,"US$5 -
US$20","Lebanese, Mediterranean, Middle Eastern","Brunch, Breakfast, Lunch, Dinner","Outdoor Seating, Serves Alcohol, Reservations, Seating, Waitstaff, Wheelchair Accessible",Child-friendly,"Sunday
08:30 - 22:00


Monday
08:30 - 22:00


Tuesday
08:30 - 22:00


Wednesday
08:30 - 22:00


Thursday
08:30 - 22:00


Friday
08:30 - 22:00


Saturday
08:30 - 22:00","#186 Street 13, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85586268081
85,Tini,/Restaurant_Review-g293940-d8661234-Reviews-Tini-Phnom_Penh.html,US$5,"Bar, Cafe, Asian, Pub, Wine Bar","Breakfast, After-hours, Drinks, Dinner","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Cash Only",,"Sunday
08:00 - 21:00


Monday
08:00 - 21:00


Wednesday
08:00 - 23:00


Thursday
08:00 - 23:00


Friday
08:00 - 23:00


Saturday
08:00 - 23:00","# 57 Street 450, Toul Tom Poung 1, Khan Chamkarmon | Toul Tom Poung (one block from Russian Market, near corner Street 135), Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)17555450
86,Vanfs Restaurant,/Restaurant_Review-g293940-d1724671-Reviews-Van_s_Restaurant-Phnom_Penh.html,,"French, European, Steakhouse","Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Serves Alcohol, Full Bar, Private Dining, Free Wifi","Romantic, Groups, Special Occasion Dining, Business meetings","Sunday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Monday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Tuesday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Wednesday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Thursday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Friday
07:00 - 10:3011:00 - 14:0017:00 - 22:30


Saturday
07:00 - 10:3011:00 - 14:0017:00 - 22:30","No. 5, Street 102 | Place De La Poste, Phnom Penh 12202, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 722 067
87,Larry's 110st Bar & Grill,/Restaurant_Review-g293940-d6414520-Reviews-Larry_s_110st_Bar_Grill-Phnom_Penh.html,,"American, Bar, European, Pizza, Pub","Dinner, Lunch, After-hours, Drinks","Outdoor Seating, Seating, Waitstaff, Television, Full Bar, Takeout, Reservations, Serves Alcohol","Groups, Bar Scene",,"22-24, 110th Street, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",89 500 110
88,Chez Gaston,/Restaurant_Review-g293940-d3509010-Reviews-Chez_Gaston-Phnom_Penh.html,"US$7 -
US$27","French, European","Dinner, After-hours","Waitstaff, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Reservations, Seating",,"Monday
18:00 - 00:00


Tuesday
18:00 - 00:00


Wednesday
18:00 - 00:00


Thursday
18:00 - 00:00


Friday
18:00 - 00:00


Saturday
18:00 - 00:00","76, Rue 15 | En vente, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 77 91 09 45
89,ST 63,/Restaurant_Review-g293940-d4059238-Reviews-ST_63-Phnom_Penh.html,,"Asian, Cambodian, European","Lunch, Dinner, After-hours","Seating, Waitstaff, Free Wifi, Reservations, Wheelchair Accessible, Serves Alcohol","Cheap Eats, Child-friendly",,"179 E0, 63 St., BKK1, Chamkarmon, Phnom Penh, Cambodia | Just 4 doors north of 294 St. on the west side of 63 St., Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",15647062
90,Hugo.85,/Restaurant_Review-g293940-d7998393-Reviews-Hugo_85-Phnom_Penh.html,,"Italian, French, European, Fusion","Lunch, Dinner, Brunch","Cash Only, Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Takeout","Cheap Eats, Business meetings, Child-friendly","Sunday
11:30 - 14:0017:30 - 21:00


Tuesday
11:30 - 14:0017:30 - 21:00


Wednesday
11:30 - 14:0017:30 - 21:00


Thursday
11:30 - 14:0017:30 - 21:00


Friday
11:30 - 14:0017:30 - 21:00


Saturday
11:30 - 14:0017:30 - 21:00","159 Aeo, Group 31 Street 278, Boeung Keng Kong 1 Quarter | Behide Lucky Supermarket, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)98 624 358
91,Taste Budz,/Restaurant_Review-g293940-d2629000-Reviews-Taste_Budz-Phnom_Penh.html,,"Indian, Asian, Vegetarian Friendly","Lunch, Dinner","Delivery, Takeout, Seating, Waitstaff, Serves Alcohol, Reservations, Wheelchair Accessible","Cheap Eats, Child-friendly","Sunday
10:30 - 22:00


Monday
10:30 - 22:00


Tuesday
10:30 - 22:00


Wednesday
10:30 - 22:00


Thursday
10:30 - 22:00


Friday
10:30 - 22:00


Saturday
10:30 - 22:00","13E. Street 282, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",017 913 812
92,Brown Cafe,/Restaurant_Review-g293940-d4591113-Reviews-Brown_Cafe-Phnom_Penh.html,,Cafe,"Breakfast, Lunch","Takeout, Seating, Waitstaff",Child-friendly,"Sunday
06:30 - 20:30


Monday
06:30 - 20:30


Tuesday
06:30 - 20:30


Wednesday
06:30 - 20:30


Thursday
06:30 - 20:30


Friday
06:30 - 20:30


Saturday
06:30 - 20:30","russian Blv, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",
93,Zino,/Restaurant_Review-g293940-d7140009-Reviews-Zino-Phnom_Penh.html,"US$3 -
US$25","European, Wine Bar, Mediterranean","Lunch, Dinner","Serves Alcohol, Reservations, Seating, Waitstaff, Street Parking, Full Bar, Wine and Beer, Free Wifi, Outdoor Seating, Wheelchair Accessible","Special Occasion Dining, Bar Scene, Business meetings","Sunday
12:00 - 00:00


Monday
12:00 - 00:00


Tuesday
12:00 - 00:00


Wednesday
12:00 - 00:00


Thursday
12:00 - 00:00


Friday
12:00 - 00:00


Saturday
12:00 - 00:00","No 12, Street 294, Sankat Tonle Basak, Khan Cham Kamon, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85599998519
94,Petra,/Restaurant_Review-g293940-d5002852-Reviews-Petra-Phnom_Penh.html,,"Lebanese, Turkish, Vegetarian Friendly, Middle Eastern, Halal, Egyptian, Mediterranean, Gluten Free Options","Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Free Wifi, Delivery, Takeout, Wheelchair Accessible","Groups, Business meetings, Child-friendly","Sunday
11:00 - 22:30


Monday
11:00 - 22:30


Tuesday
11:00 - 22:30


Wednesday
11:00 - 22:30


Thursday
11:00 - 22:30


Friday
11:00 - 22:30


Saturday
11:00 - 22:30","Villa 8A | Connecting Street 51 and 57, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",(+855) 023 666 3 222
95,Cadillac Bar & Grill,/Restaurant_Review-g293940-d4094224-Reviews-Cadillac_Bar_Grill-Phnom_Penh.html,"US$5 -
US$10","American, Bar, European, Asian, Pub","Breakfast, Lunch, Dinner, Brunch, After-hours","Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Full Bar, Delivery, Takeout, Television",Bar Scene,"Sunday
07:30 - 23:00


Monday
07:30 - 23:00


Tuesday
07:30 - 23:00


Wednesday
07:30 - 23:00


Thursday
07:30 - 23:00


Friday
07:30 - 23:00


Saturday
07:30 - 23:00","219E Sisowath Quay | (on Riverfront), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85511713567
96,Caravan's Brasserie,/Restaurant_Review-g293940-d6964287-Reviews-Caravan_s_Brasserie-Phnom_Penh.html,"US$3 -
US$21","Italian, European, French, Mediterranean","Lunch, Dinner","Takeout, Seating, Waitstaff, Street Parking, Free Off-Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Parking Available","Business meetings, Child-friendly, Bar Scene, Groups",,"68 Sihanouk Boulevard | Near Independent Monument, Phnom Penh 12101, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 966 600
97,Mama Wong's Fusion Asian Restaurant,/Restaurant_Review-g293940-d8387576-Reviews-Mama_Wong_s_Fusion_Asian_Restaurant-Phnom_Penh.html,,"Chinese, Asian, Fusion","Lunch, Dinner","Reservations, Seating, Waitstaff, Serves Alcohol, Delivery, Takeout","Groups, Child-friendly","Sunday
11:00 - 21:30


Monday
11:00 - 21:30


Tuesday
11:00 - 21:30


Wednesday
11:00 - 21:30


Thursday
11:00 - 21:30


Friday
11:00 - 22:00


Saturday
11:00 - 21:30","308 Street | #41, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 97 850 8383
98,Buffalo Sister,/Restaurant_Review-g293940-d4162467-Reviews-Buffalo_Sister-Phnom_Penh.html,US$7,"British, American, Delicatessen, Australian","Lunch, Dinner","Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Cash Only, Delivery, Reservations","Cheap Eats, Child-friendly","Monday
11:00 - 19:30


Tuesday
11:00 - 19:30


Wednesday
11:00 - 19:30


Thursday
11:00 - 19:30


Friday
11:00 - 19:30


Saturday
11:00 - 19:30","55D Street 456 Toul Tom Poung | Near Corner of Street 123, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 17 879 403
99,La Table Khmere,/Restaurant_Review-g293940-d4283778-Reviews-La_Table_Khmere-Phnom_Penh.html,"US$3 -
US$8","Asian, Cambodian, Fusion","Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible","Romantic, Child-friendly, Local cuisine, Groups","Sunday
09:00 - 23:00


Monday
09:00 - 23:00


Tuesday
09:00 - 23:00


Wednesday
09:00 - 23:00


Thursday
09:00 - 23:00


Friday
09:00 - 23:00


Saturday
09:00 - 23:00","11E Street 278, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 12 238 068
100,Ocean,/Restaurant_Review-g293940-d1545088-Reviews-Ocean-Phnom_Penh.html,,"Seafood, Mediterranean, European, International","Lunch, Dinner","Seating, Waitstaff, Reservations, Outdoor Seating, Serves Alcohol",Child-friendly,"Sunday
18:00 - 22:00


Monday
18:00 - 22:0012:00 - 14:00


Tuesday
18:00 - 22:0012:00 - 14:00


Wednesday
18:00 - 22:0012:00 - 14:00


Thursday
18:00 - 22:0012:00 - 14:00


Friday
18:00 - 22:0012:00 - 14:00


Saturday
18:00 - 22:00","11 Street 288, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517766690
101,Comme A La Maison,/Restaurant_Review-g293940-d1421477-Reviews-Comme_A_La_Maison-Phnom_Penh.html,"US$12 -
US$25","French, European, Pizza, Delicatessen","Breakfast, Lunch, Dinner, Brunch, After-hours","Wheelchair Accessible, Takeout, Seating, Waitstaff, Street Parking, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Delivery, Reservations, Outdoor Seating, Highchairs Available, Full Bar","Business meetings, Special Occasion Dining, Romantic, Child-friendly","Sunday
06:00 - 23:00


Monday
06:00 - 23:00


Tuesday
06:00 - 23:00


Wednesday
06:00 - 23:00


Thursday
06:00 - 23:00


Friday
06:00 - 23:00


Saturday
06:00 - 23:00","13 Street 57, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 36 0801
102,Armand's - The Bistro,/Restaurant_Review-g293940-d2063928-Reviews-Armand_s_The_Bistro-Phnom_Penh.html,"US$10 -
US$30","French, European, Steakhouse, Wine Bar","Dinner, After-hours","Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Visa, Reservations, Seating, Waitstaff",Romantic,"Sunday
16:30 - 00:00


Tuesday
16:30 - 00:00


Wednesday
16:30 - 00:00


Thursday
16:30 - 00:00


Friday
16:30 - 00:00


Saturday
16:30 - 00:00","108 #33 Street, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85515548966
103,The Kathmandu Kitchen,/Restaurant_Review-g293940-d4404982-Reviews-The_Kathmandu_Kitchen-Phnom_Penh.html,,"Indian, Vegetarian Friendly, Nepalese, Asian, Cambodian","Lunch, Dinner","Takeout, Seating, Waitstaff, Serves Alcohol, Delivery, Reservations","Cheap Eats, Child-friendly","Sunday
11:00 - 22:00


Tuesday
11:00 - 22:00


Wednesday
11:00 - 22:00


Thursday
11:00 - 22:00


Friday
11:00 - 22:00


Saturday
11:00 - 22:00","#13, Long Nget Street 258, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",023 555 2846
104,Alley Cat Cafe,/Restaurant_Review-g293940-d2168736-Reviews-Alley_Cat_Cafe-Phnom_Penh.html,"US$3 -
US$8","Mexican, American, Bar, International","Breakfast, Lunch, Dinner, After-hours","Television, Serves Alcohol, Full Bar, Free Wifi, Takeout, Seating, Waitstaff, Delivery",Child-friendly,"Sunday
10:00 - 22:00


Tuesday
10:00 - 22:00


Wednesday
10:00 - 22:00


Thursday
10:00 - 22:00


Friday
10:00 - 22:00


Saturday
10:00 - 22:00","St. 19z Near Corner of St. 178 + St. 19 | In Alley across from Royal School of Arts, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85512306845
105,Lone Star Saloon,/Restaurant_Review-g293940-d1743744-Reviews-Lone_Star_Saloon-Phnom_Penh.html,,"American, Southwestern, Bar","Breakfast, Lunch, Dinner, After-hours","Seating, Waitstaff, Serves Alcohol, Free Wifi, Delivery, Takeout, Reservations, Television, Full Bar",Bar Scene,"Sunday
12:00 - 02:00


Monday
12:00 - 02:00


Tuesday
12:00 - 02:00


Wednesday
12:00 - 02:00


Thursday
12:00 - 02:00


Friday
12:00 - 02:00


Saturday
12:00 - 02:00","#30, St. 23 | Near Wat Saraone and Cinema Lux, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",12577860
106,Li Shishi,/Restaurant_Review-g293940-d7688011-Reviews-Li_Shishi-Phnom_Penh.html,,"Asian, Italian, Fusion, Cambodian","Breakfast, Dinner, After-hours, Drinks","Delivery, Reservations, Seating, Waitstaff, Serves Alcohol",,,"# 142a Street 172 | Corner Street 19, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",69541654
107,The Mad Monkey,/Restaurant_Review-g293940-d2193245-Reviews-The_Mad_Monkey-Phnom_Penh.html,"US$2 -
US$18","Bar, European, Asian, Cambodian, Italian, Mexican, American, International, British, Pub","Dinner, Breakfast, Lunch","Seating, Waitstaff, Serves Alcohol, Full Bar, Outdoor Seating","Groups, Bar Scene",,"Building 26 | Street 302, Phnom Penh BKK1, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+ 855 (0) 977-207-355
108,Lotus Blanc,/Restaurant_Review-g293940-d1220124-Reviews-Lotus_Blanc-Phnom_Penh.html,"US$8 -
US$15","European, Asian, Cambodian","Lunch, Dinner, After-hours","Wheelchair Accessible, Serves Alcohol, Seating, Waitstaff, Street Parking, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Discover, Outdoor Seating, Parking Available, Highchairs Available, Full Bar","Child-friendly, Local cuisine, Groups","Monday
11:00 - 22:00


Wednesday
11:00 - 22:00


Thursday
11:00 - 22:00


Friday
11:00 - 22:00


Saturday
11:00 - 22:00","# 152 St 51, Pasteur | Boeung Keng Korn, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517602251
109,Enso Cafe,/Restaurant_Review-g293940-d9767729-Reviews-Enso_Cafe-Phnom_Penh.html,,"Cafe, European, Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Brunch","Waitstaff, Reservations, Seating, Wheelchair Accessible","Child-friendly, Groups",,"Street 240 | 50 B, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",78626240
110,Taste of the Middle East,/Restaurant_Review-g293940-d7347548-Reviews-Taste_of_the_Middle_East-Phnom_Penh.html,,"Lebanese, Vegetarian Friendly, Middle Eastern, Halal, Mediterranean","Lunch, Dinner","Reservations, Seating, Waitstaff, Wheelchair Accessible, Takeout","Child-friendly, Cheap Eats",,"#35 Street 19 Near Street 118 | Five Minute Walk From Riverside, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",98713443
111,Fox Wine Bistro Aeon Mall Phnom Penh,/Restaurant_Review-g293940-d4555494-Reviews-Fox_Wine_Bistro_Aeon_Mall_Phnom_Penh-Phnom_Penh.html,,"European, Italian, French, Mediterranean, Wine Bar","Lunch, Dinner, After-hours","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol","Business meetings, Bar Scene, Romantic","Sunday
10:30 - 00:00


Monday
10:30 - 00:00


Tuesday
10:30 - 00:00


Wednesday
10:30 - 00:00


Thursday
10:30 - 00:00


Friday
10:30 - 00:00


Saturday
10:30 - 00:00","132 Street Samdach Sothearos | Sangkat Chaktomok, Khan Doun Penh Phnom Penh, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85590625656
112,The Vegetarian,/Restaurant_Review-g293940-d1902138-Reviews-The_Vegetarian-Phnom_Penh.html,US$3,"Asian, Vegetarian Friendly, Vegan Options, Cambodian","Lunch, Dinner","Takeout, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Free Wifi, Reservations","Cheap Eats, Child-friendly, Local cuisine","Monday
10:30 - 20:30


Tuesday
10:30 - 20:30


Wednesday
10:30 - 20:30


Thursday
10:30 - 20:30


Friday
10:30 - 20:30


Saturday
10:30 - 20:30","158, Street 19 Off Sihanouk Boulevard, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 12 905 766
113,Brasserie du Port,/Restaurant_Review-g293940-d3470022-Reviews-Brasserie_du_Port-Phnom_Penh.html,"US$5 -
US$25","French, European","Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Serves Alcohol, Delivery",Business meetings,"Sunday
11:00 - 22:30


Monday
11:00 - 22:30


Tuesday
11:00 - 22:30


Wednesday
11:00 - 22:30


Thursday
11:00 - 22:30


Friday
11:00 - 22:30


Saturday
11:00 - 22:30","49E, Sisowath Quay | Corner Sisowath quay and street 84, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 96 634 7673
114,Angkor India,/Restaurant_Review-g293940-d4174315-Reviews-Angkor_India-Phnom_Penh.html,"US$4 -
US$10","Indian, Asian, Fusion, Vegan Options","Breakfast, Lunch, Dinner, Brunch","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol, Wheelchair Accessible","Child-friendly, Cheap Eats, Groups, Business meetings","Sunday
08:00 - 23:30


Monday
08:00 - 23:30


Wednesday
08:00 - 23:30


Thursday
08:00 - 23:30


Friday
08:00 - 23:30


Saturday
08:00 - 23:30","278 Street | #8/A, Phnom Penh 12101, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 23 212 023 92261270
115,Mount Everest,/Restaurant_Review-g293940-d1220140-Reviews-Mount_Everest-Phnom_Penh.html,"US$4 -
US$7","Indian, Asian, Vegetarian Friendly, Halal, Nepalese, Middle Eastern, Pakistani","Lunch, Dinner, After-hours","Delivery, Takeout, Reservations, Private Dining, Seating, Waitstaff","Child-friendly, Cheap Eats, Groups","Sunday
10:00 - 22:00


Monday
10:00 - 22:00


Tuesday
10:00 - 22:00


Wednesday
10:00 - 22:00


Thursday
10:00 - 22:00


Friday
10:00 - 22:00


Saturday
10:00 - 22:00","#63 Street 294, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 213821
116,Tipico,/Restaurant_Review-g293940-d9748757-Reviews-Tipico-Phnom_Penh.html,"US$4 -
US$8","Mediterranean, European, Spanish, Bar, Pub","After-hours, Drinks, Lunch, Dinner","Waitstaff, Highchairs Available, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Takeout, Reservations, Seating","Cheap Eats, Special Occasion Dining, Business meetings, Child-friendly",,"80, Street 454, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85523986453
117,K'NYAY,/Restaurant_Review-g293940-d1570749-Reviews-K_NYAY-Phnom_Penh.html,US$6,"Vegetarian Friendly, Vegan Options, Cambodian, Gluten Free Options, Asian, Healthy","Breakfast, Lunch, Dinner, After-hours","Reservations, Seating, Waitstaff, Free Wifi, Delivery, Takeout, Serves Alcohol","Romantic, Cheap Eats, Local cuisine, Special Occasion Dining, Business meetings, Child-friendly","Sunday
07:00 - 21:00


Tuesday
12:00 - 21:00


Wednesday
12:00 - 21:00


Thursday
12:00 - 21:00


Friday
12:00 - 21:00


Saturday
07:00 - 21:00","at The Terrace on 95 | #43, St.95 (corner of St.348), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",093 665 225
118,Le Bistrot,/Restaurant_Review-g293940-d6886269-Reviews-Le_Bistrot-Phnom_Penh.html,US$14,"French, European, Cafe, Delicatessen","Dinner, Breakfast, Lunch","Outdoor Seating, Seating, Waitstaff, Reservations, Wheelchair Accessible, Serves Alcohol",Child-friendly,"Tuesday
08:00 - 22:00


Saturday
08:00 - 22:00","218, Street 184 | Institut Francais du Cambodge, Phnom Penh BP 827, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85512495841
119,Duplex,/Restaurant_Review-g293940-d7039509-Reviews-Duplex-Phnom_Penh.html,"US$3 -
US$10","Belgian, Cambodian, French, Bar, Vegetarian Friendly","Dinner, Brunch, After-hours","Takeout, Outdoor Seating, Seating, Street Parking, Television, Serves Alcohol, Full Bar, Accepts Visa, Cash Only, Free Wifi, Reservations, Waitstaff, Wheelchair Accessible, Delivery","Groups, Bar Scene, Business meetings, Child-friendly",,"No 3 St. 278 | Wat Langka, BKK 1, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85510536060
120,Paddy Rice Bar,/Restaurant_Review-g293940-d1811463-Reviews-Paddy_Rice_Bar-Phnom_Penh.html,"US$3 -
US$16","Bar, European, British, Pub, Cambodian, Irish, Asian","Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks","Television, Wheelchair Accessible, Serves Alcohol, Outdoor Seating, Seating, Waitstaff, Street Parking, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Takeout, Reservations","Groups, Bar Scene, View","Sunday
06:00 - 05:59


Monday
06:00 - 05:59


Tuesday
06:00 - 05:59


Wednesday
06:00 - 05:59


Thursday
06:00 - 05:59


Friday
06:00 - 05:59


Saturday
06:00 - 05:59","213/217 Sisowath Quay Corner 136 St, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85517773102
121,Mr. Mab Restaurant & Bar,/Restaurant_Review-g293940-d8123531-Reviews-Mr_Mab_Restaurant_Bar-Phnom_Penh.html,,"European, Asian, Seafood, Vietnamese, Wine Bar, Cambodian","Lunch, Dinner","Reservations, Seating, Waitstaff, Serves Alcohol, Takeout","Groups, Child-friendly, Cheap Eats",,"110CD, Street 360 (Almost Corner Street 163), Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+(855)17536888
122,Dot Grill,/Restaurant_Review-g293940-d7080949-Reviews-Dot_Grill-Phnom_Penh.html,"US$4 -
US$9","International, Barbecue, Asian, Grill, Cambodian","Breakfast, Lunch, Dinner","Reservations, Outdoor Seating, Seating, Waitstaff, Serves Alcohol",Child-friendly,"Sunday
07:30 - 23:00


Monday
07:30 - 23:00


Tuesday
07:30 - 23:00


Wednesday
07:30 - 23:00


Thursday
07:30 - 23:00


Friday
07:30 - 23:00


Saturday
07:30 - 23:00","Street 144 | 8, Phnom Penh NA, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",+855 88 562 2120
123,Tonle Bassac II Restaurant,/Restaurant_Review-g293940-d7805688-Reviews-Tonle_Bassac_II_Restaurant-Phnom_Penh.html,,"Japanese, Asian, Cambodian, Chinese, European, Thai","Lunch, Dinner","Reservations, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol","Groups, Child-friendly",,"Building 534, Preah Monivong Boulevard | Behind Bayon Hospital, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",855 (81) 913 888
124,Mr. Mab Global Street Food 123,/Restaurant_Review-g293940-d9728907-Reviews-Mr_Mab_Global_Street_Food_123-Phnom_Penh.html,"US$3 -
US$20","Asian, Vegetarian Friendly, Street Food, Bar, European, Cambodian","Lunch, Dinner","Street Parking, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Delivery, Takeout, Reservations, Outdoor Seating, Seating, Waitstaff","Groups, Child-friendly, Cheap Eats","Sunday
11:00 - 23:00


Monday
11:00 - 23:00


Tuesday
11:00 - 23:00


Wednesday
11:00 - 23:00


Thursday
11:00 - 23:00


Friday
11:00 - 23:00


Saturday
11:00 - 23:00","123 #69, Street | On Street 123 between 460 & 468, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85587525777
125,Banh Mi & Bros,/Restaurant_Review-g293940-d10100217-Reviews-Banh_Mi_Bros-Phnom_Penh.html,"US$2 -
US$5","Asian, Vegetarian Friendly, Fusion, Vietnamese","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Delivery, Takeout, Television, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Wheelchair Accessible",Cheap Eats,"Sunday
10:00 - 22:00


Monday
10:00 - 22:00


Tuesday
10:00 - 22:00


Wednesday
10:00 - 22:00


Thursday
10:00 - 22:00


Friday
10:00 - 22:00


Saturday
10:00 - 22:00","#157, 63 Street, Phnom Penh 1200, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",85585400880
126,Big Board Kitchen,/Restaurant_Review-g293940-d10194093-Reviews-Big_Board_Kitchen-Phnom_Penh.html,"US$2 -
US$8","Asian, Fusion, Caucasian",,"Takeout, Seating, Parking Available, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Reservations",,"Monday
11:00 - 15:0017:00 - 22:00


Tuesday
11:00 - 15:0017:00 - 22:00


Wednesday
11:00 - 15:0017:00 - 22:00


Thursday
11:00 - 15:0017:00 - 22:00


Friday
11:00 - 15:0017:00 - 22:00


Saturday
11:00 - 15:0017:00 - 22:00","123 No 33, St. | Khan Chamkarmorn, Phnom Penh 12000, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",17841258
127,Mike's Burger House,/Restaurant_Review-g293940-d2269904-Reviews-Mike_s_Burger_House-Phnom_Penh.html,,"American, Fast food, Diner","Breakfast, Lunch, Dinner","Takeout, Seating","Child-friendly, Cheap Eats","Sunday
09:00 - 22:00


Monday
09:00 - 22:00


Tuesday
09:00 - 22:00


Wednesday
09:00 - 22:00


Thursday
09:00 - 22:00


Friday
09:00 - 22:00


Saturday
09:00 - 22:00","Russian Blvd, Tuol Kork | Sokimex Gas Station, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",069 55 99 71
128,Sovanna,/Restaurant_Review-g293940-d2241191-Reviews-Sovanna-Phnom_Penh.html,,"Asian, Cambodian, Barbecue","Lunch, Dinner, After-hours","Seating, Waitstaff, Serves Alcohol, Takeout","Groups, Child-friendly, Cheap Eats",,"Street 21, Phnom Penh, Cambodia","Asia
  >  Cambodia
  >  Phnom Penh",8.55017E+11
